S,K,r,t,vol,Value
1285.78,1166.49,0.0133,0.5945,0.1793,150.0939
1607.73,1643.77,0.0192,0.874,0.1409,80.3673
1059.04,1848.7,0.0188,0.6356,0.22,0.0624
1897.29,1760.12,0.0127,0.0548,0.1534,138.7105
1262.92,1157.75,0.0198,0.7589,0.1806,151.7856
1100.21,1057.01,0.0204,0.0603,0.1998,49.5248
1407.38,1068.78,0.017,0.0658,0.1972,339.7948
1545.64,1623.39,0.0141,0.3315,0.1744,34.0303
1423.79,1258.76,0.0168,1.2356,0.1702,223.054
1293.95,1929.48,0.0212,1.0329,0.166,1.1508
1160.6,1093.34,0.0155,0.2466,0.2033,89.4352
1747.63,1159.3,0.0187,0.7726,0.1469,604.9825
1976.5699,1906.6,0.0274,1.4493,0.1956,259.4729
1687.9,1820.55,0.0121,1.0411,0.2179,105.4725
1150.4399,1730.0699,0.0171,1.3534,0.1569,1.597
1830.84,1913.0699,0.0201,0.3041,0.154,33.2715
1075.74,1377.21,0.0152,0.2904,0.1645,0.0916
1246.85,1687.09,0.0209,1.4356,0.1953,20.0428
1459.58,1539.5699,0.0245,1.0603,0.1795,89.895
1237.09,1772.7,0.0128,1.2329,0.1756,4.4552
1993.95,1301.01,0.0166,0.5096,0.1423,703.8995
1510.77,1211.52,0.0227,1.4438,0.1834,356.374
1218.58,1226.01,0.0278,1.3562,0.1666,112.7778
1756.86,1672.09,0.0171,0.2301,0.1982,120.0043
1543.87,1928.5601,0.0122,1.4767,0.1481,19.5686
1954.21,1879.99,0.0189,1.3507,0.1472,198.7484
1652.73,1777.72,0.0114,0.737,0.2102,75.4406
1013.61,1044.16,0.0132,0.6685,0.1741,48.0261
1750.1,1146.14,0.0191,1.3014,0.2021,635.2553
1595.67,1810.48,0.0269,0.0274,0.1661,0
1378.9,1357.85,0.0203,0.2767,0.1706,63.8791
1198.22,1023.99,0.0152,1.3644,0.1808,220.9567
1771.04,1241.4301,0.0223,0.8575,0.1724,553.8713
1856.97,1330.9301,0.019,0.3479,0.168,534.8195
1952.46,1944.98,0.0277,1.0795,0.1478,152.7097
1053.28,1401.91,0.0162,0.6685,0.1802,2.1297
1070.73,1419.0601,0.0172,0.6466,0.2218,6.131
1672.6,1307.37,0.0224,1.4822,0.214,435.1167
1664.12,1723.75,0.0214,0.5918,0.154,61.7515
1107.54,1326.6801,0.0222,0.9507,0.1785,20.3076
1840.76,1066.3101,0.0206,1.074,0.2045,798.1124
1849.15,1222.04,0.018,0.5562,0.1823,639.333
1586.8,1225.46,0.0206,1.2986,0.185,405.4187
1160.27,1758.55,0.0165,1.4438,0.1848,4.8425
1672.13,1768.6801,0.0236,0.074,0.2136,7.1571
1674.65,1001.52,0.0201,0.6877,0.2032,686.9294
1872.5601,1218.72,0.0234,0.2986,0.1425,662.3259
1015.6,1672.4399,0.0242,0.474,0.1713,0
1477.15,1075.5601,0.0128,0.1096,0.1771,403.0978
1777.9399,1594.83,0.0259,1.4055,0.1928,299.9961
1299.41,1350.09,0.0128,0.2438,0.1554,21.1105
1466.9301,1011.05,0.0167,1.0685,0.182,475.3367
1661.25,1015.81,0.0221,0.5753,0.1556,658.2737
1238.0601,1301.6,0.0242,1.4384,0.1878,102.4904
1068.21,1534.66,0.0144,1.1671,0.2024,6.7286
1531.29,1387.95,0.0255,0.4192,0.1924,176.7484
1544.9399,1363.42,0.025,1.0329,0.1886,249.971
1943.62,1850.17,0.0157,0.3808,0.18,145.8762
1849.5601,1096.72,0.0126,0.1699,0.1831,755.1854
1933.7,1540.75,0.0274,0.7452,0.1689,428.6332
1035.63,1653.12,0.0265,0.3562,0.1416,0
1202.1801,1225.6899,0.0218,0.7205,0.2002,79.3142
1080.64,1660.34,0.018,0.4959,0.1906,0.0409
1841.6,1534.22,0.0183,1.0082,0.228,375.1106
1549.52,1946,0.0244,0.7425,0.1529,5.334
1599.61,1248.3101,0.0139,1.2712,0.153,379.6002
1512.14,1790.05,0.024,1.4767,0.1328,29.7146
1849.16,1713.38,0.0176,1.0274,0.1458,207.7094
1183.47,1345.16,0.0117,0.0822,0.1807,0.1126
1109.49,1901.24,0.0231,1.4438,0.2009,2.2474
1005.08,1381.41,0.0236,0.8521,0.1547,1.1144
1211.6801,1406.67,0.023,1.4493,0.1674,45.2094
1136.88,1261.3,0.0184,1.2274,0.1996,63.1182
1452.45,1408.9,0.0196,1.4247,0.1488,146.2635
1577.7,1801.66,0.0265,0.463,0.16,11.9757
1330,1379.04,0.0144,1.0986,0.1661,80.1439
1383.5699,1428.37,0.0131,0.6247,0.1479,49.9562
1705.6,1065.05,0.0216,1.2,0.1784,668.2553
1702.36,1780.37,0.016,0.326,0.1829,42.711
1484.8,1035.09,0.0183,0.7041,0.1531,463.044
1593.64,1669.17,0.0253,1.3151,0.174,117.1983
1161.8199,1810.92,0.0253,1.4877,0.1824,4.1808
1852.38,1050.01,0.0154,0.5753,0.1605,811.6316
1821.04,1372.2,0.0227,1.0055,0.1865,486.033
1305.36,1411.03,0.0167,0.8219,0.1836,52.7536
1439.23,1563.3101,0.0139,0.5096,0.1493,22.2768
1298.9399,1736.63,0.0157,0.7836,0.204,7.1799
1582.33,1683.64,0.0209,1.2192,0.1808,100.7852
1347.04,1951.36,0.0237,0.4137,0.1868,0.066
1840.5,1292.76,0.0268,0.1671,0.1973,553.5165
1157.96,1500.4399,0.0216,1.1616,0.1711,11.6281
1595.25,1011.71,0.026,0.9068,0.1664,607.1837
1508.9,1473.33,0.019,1.2219,0.1942,163.6814
1962.25,1851.6,0.0195,0.5726,0.2086,196.0274
1686.9301,1426.46,0.0189,1.1151,0.1875,317.7737
1003.78,1350.85,0.0256,0.6849,0.1991,3.482
1464.96,1811.47,0.0233,0.7699,0.2145,23.6805
1554.41,1552.17,0.0226,0.9699,0.1646,118.2268
1831.84,1665.14,0.0214,1.2137,0.1689,258.8893
1253.6801,1600.78,0.0256,0.337,0.1688,0.3086
1944.89,1967.3101,0.0274,0.3315,0.2012,86.524
1629.63,1494.86,0.0213,1.0192,0.1792,214.1009
1024.02,1823,0.0174,0.9836,0.1932,0.1304
1326.8101,1269.63,0.0253,0.2849,0.2099,96.2371
1155.9,1375,0.014,0.7151,0.1493,7.2555
1822.6,1646.29,0.0147,0.9616,0.184,248.1533
1227.04,1103.21,0.0269,0.126,0.1719,128.3201
1225.55,1927.03,0.021,0.4438,0.2096,0.0411
1454.62,1916.91,0.0196,1.3699,0.1922,24.9178
1999.48,1667.4,0.0152,0.6603,0.2122,369.6623
1233.5699,1196.27,0.0185,0.074,0.1721,46.2775
1707.16,1407.27,0.0211,0.9452,0.1682,338.9962
1268.97,1689.3,0.0164,1.4192,0.1988,22.9304
1117.23,1491.61,0.018,0.5123,0.1831,0.9702
1212.23,1920.59,0.016,1.4411,0.1885,3.4465
1268.17,1762.41,0.0198,0.2411,0.2078,0.0247
1270.02,1517.92,0.0142,1.0192,0.1701,21.459
1333.03,1652.91,0.0203,1.2356,0.1867,29.5739
1504.53,1613.16,0.0254,0.3452,0.2153,39.2574
1378.73,1965.42,0.0222,1.0795,0.1821,4.9933
1793.92,1223.62,0.0221,0.1342,0.1863,573.9237
1363.6,1364.01,0.0207,1.0411,0.1677,107.0345
1671.6801,1270.12,0.0219,0.0986,0.1679,404.2997
1966.99,1363.28,0.0179,0.3589,0.1855,612.4575
1513.67,1638.02,0.0204,0.6658,0.2036,60.2782
1094.63,1344.46,0.0187,0.6603,0.1601,4.7201
1791.5,1437.45,0.0166,0.7781,0.2049,385.8603
1153.52,1880.12,0.0259,0.3507,0.1628,0
1361.12,1369.0699,0.0227,1.4521,0.201,148.3593
1440.12,1398.75,0.024,1.2767,0.1716,154.7995
1005.29,1851.52,0.0236,1.1836,0.1998,0.3274
1235.6,1970.36,0.019,0.8,0.2181,1.0549
1698.74,1316.76,0.0177,1.1644,0.177,418.2602
1451.77,1744.49,0.0157,1.2904,0.1678,32.4777
1314.6899,1829.77,0.0265,1.1342,0.1632,4.5043
1921.67,1321.79,0.0277,0.4082,0.1747,614.7525
1741.5699,1938.64,0.021,0.0493,0.1472,0
1678.34,1090.46,0.0122,1.0027,0.2068,602.7367
1628.58,1411.35,0.0157,1.1836,0.1646,269.9935
1815.6801,1308.75,0.0252,0.1808,0.184,512.8796
1229.04,1265.5601,0.0168,0.5753,0.1402,41.2329
1775.05,1464.8199,0.0198,0.1479,0.1734,314.5552
1059.9399,1247.66,0.0249,1.1863,0.2037,42.122
1151.45,1195.21,0.0212,1.1479,0.1852,84.2635
1346.88,1667.1899,0.0201,0.937,0.1953,22.0569
1362.9301,1793.14,0.0228,0.3041,0.1635,0.0454
1472.72,1243.0699,0.0283,0.7342,0.1832,266.6414
1777.0601,1087.92,0.0166,0.9808,0.1647,706.7675
1899,1367.73,0.0184,0.926,0.2088,559.972
1138.2,1226.63,0.0124,0.1918,0.1686,7.3067
1278.72,1945.5,0.0173,1.4904,0.18,4.9365
1389.24,1639.53,0.018,1.4548,0.1651,42.1613
1729.3199,1711.46,0.0137,0.7123,0.1811,122.4026
1231.67,1220.1801,0.0264,0.326,0.16,55.5055
1484.48,1687.03,0.0174,0.8712,0.2173,57.5264
1017.7,1501.72,0.0216,1.3041,0.1949,5.9533
1393.6801,1178.4399,0.0243,1.4493,0.1637,275.3897
1818.08,1360.5,0.0183,0.5644,0.1733,472.281
1988.12,1474.5601,0.025,1.126,0.1866,561.3369
1759.55,1528.3,0.018,1.4548,0.1879,319.6791
1081.73,1150.0699,0.0165,0.3096,0.156,14.79
1975.49,1944.3101,0.0167,1.0137,0.1926,184.171
1126.25,1630.42,0.0144,0.7753,0.1692,0.5305
1763.66,1728.37,0.0164,0.1205,0.1624,60.4809
1788.77,1424.74,0.0167,0.8411,0.2019,397.0893
1794.66,1306.37,0.0251,0.3288,0.1853,499.0705
1470.84,1182.99,0.0147,1.4384,0.1585,324.9075
1465.02,1969.42,0.0291,0.274,0.1806,0.0277
1737.63,1483.49,0.0233,1.2466,0.1872,329.9547
1738.4301,1897.6801,0.0207,0.3699,0.1859,28.3892
1876.0699,1007.32,0.0164,0.0219,0.1817,869.1117
1069.14,1430.46,0.0157,1.011,0.208,11.2431
1050.58,1505.5699,0.0184,1.0055,0.1858,3.046
1251.0601,1113.55,0.024,0.737,0.1807,176.3974
1775.24,1715.8,0.0187,0.8,0.1715,153.7144
1286.41,1805.17,0.0174,1.2685,0.1731,6.4117
1671.14,1134.1,0.0199,0.3836,0.1573,545.665
1617.66,1871.78,0.0282,1.1945,0.1924,67.2624
1727.59,1298.71,0.0261,0.8466,0.1882,461.1395
1316.47,1254.98,0.0219,0.9288,0.176,136.2591
1536.03,1991.71,0.023,0.3151,0.1933,0.5718
1073.5,1940.74,0.0288,1.4603,0.1639,0.2242
1215.27,1514.9,0.0252,1.3644,0.1918,33.8479
1082.61,1112.23,0.0172,0.7973,0.1485,50.6422
1996.99,1946.13,0.0125,1.1589,0.1647,181.2449
1163.46,1017.5,0.0225,1.3562,0.193,208.9498
1690.09,1032.4,0.0219,1.3726,0.213,690.3668
1716.1,1333.27,0.026,1.4466,0.2133,456.4209
1492.6899,1125.84,0.0146,0.3425,0.2182,373.1548
1351.34,1555.99,0.0168,1.3589,0.217,75.1304
1870.52,1319.04,0.0178,0.7945,0.1763,570.863
1290.63,1701.62,0.0206,0.9562,0.1931,11.06
1470.5601,1685.7,0.0182,0.8521,0.1734,32.3839
1879.27,1345.09,0.0196,0.5151,0.1965,548.2144
1288.47,1283.1,0.0276,0.8795,0.2208,123.8001
1806.61,1781.05,0.0268,0.4986,0.1703,111.7691
1558.74,1322.53,0.0179,0.6301,0.1697,259.6794
1877.0601,1836.76,0.0183,0.7205,0.1505,129.5435
1086.22,1663.88,0.0257,0.537,0.1727,0.0231
1425.6,1618.75,0.0182,1.3315,0.1962,71.8638
1987.85,1540.79,0.0245,0.326,0.1629,459.4171
1721.61,1224.1801,0.019,0.8932,0.19,520.2555
1063.26,1172.4,0.023,0.5342,0.217,32.5651
1954.6801,1198.42,0.0212,0.6384,0.2005,772.426
1262.98,1668.1801,0.0182,0.9288,0.2226,16.6175
1646.26,1269.86,0.0166,0.5068,0.153,387.3852
1973.1899,1381.9399,0.0239,0.5589,0.2192,610.6902
1580.8,1643.41,0.0186,1.2603,0.1504,95.3137
1085.48,1621.27,0.0196,0.2767,0.1785,0
1600.17,1883.77,0.0132,0.5123,0.1885,14.1532
1070.6,1368.75,0.0231,1.1671,0.1974,20.1221
1855.15,1169.85,0.0245,0.789,0.1603,707.7164
1524.86,1421.11,0.0217,0.4466,0.1676,139.9886
1357.6801,1451.47,0.0183,0.1178,0.1912,7.0925
1907.91,1102.61,0.0228,0.1014,0.1944,807.8463
1927.59,1789.76,0.0184,0.5589,0.1511,183.4433
1440.6899,1458.87,0.0122,0.4959,0.181,68.7664
1877.72,1912.24,0.0177,1.4548,0.1854,173.5712
1382.28,1587.48,0.019,0.9945,0.1989,48.7613
1030.97,1764.1899,0.0198,1.4877,0.1595,0.3614
1154.4399,1511.48,0.0249,0.1068,0.2108,0
1913.17,1587.1801,0.0231,1.126,0.1599,381.3309
1032.47,1752.15,0.0187,1.4274,0.1679,0.5221
1215.51,1806.33,0.0225,0.3014,0.1472,0
1371.36,1507.22,0.0219,0.6,0.1969,40.7093
1870.2,1757.35,0.0214,0.1041,0.1521,119.9013
1585.7,1090.8101,0.0169,0.8877,0.1985,512.7919
1333.2,1034.66,0.0187,1.1397,0.2108,334.339
1352.38,1041.35,0.0251,0.2959,0.174,318.8003
1917.71,1991.91,0.0238,0.537,0.1821,80.3473
1754.5699,1053.72,0.0133,0.074,0.1497,701.8865
1272.17,1676.04,0.0238,0.537,0.1405,0.2372
1335.97,1641.79,0.0186,0.7973,0.1683,10.6167
1346.64,1226.22,0.0259,1.4,0.1879,212.3544
1283.89,1187.8101,0.0191,0.611,0.1642,132.3859
1441.05,1518.86,0.0205,1.2685,0.1801,99.5361
1210.01,1784.65,0.0201,0.1041,0.1945,0
1179.4,1589.98,0.0163,0.537,0.1589,0.3209
1247.5699,1027.33,0.024,0.6027,0.1905,240.8807
1503.36,1116.17,0.0234,1.074,0.1859,419.6489
1433.66,1659.95,0.023,1.1315,0.2028,59.0254
1029.21,1985.36,0.0264,0.0822,0.1707,0
1595.49,1734.4399,0.0231,1.0849,0.2045,96.5707
1361.85,1738.77,0.023,1.263,0.1865,25.0243
1209.26,1687.1801,0.0284,1.0877,0.1754,5.2682
1209.48,1415.09,0.0197,0.2411,0.1694,1.2719
1950.42,1489.88,0.0238,0.8493,0.1817,495.1454
1392.9399,1078.37,0.0205,0.6959,0.1917,333.4705
1904.17,1780.9399,0.0265,0.7342,0.1738,204.6995
1093.21,1060.64,0.021,0.9534,0.156,95.0226
1654.8,1633.54,0.0125,0.6247,0.1685,104.9349
1931.04,1700.72,0.0219,0.6301,0.2022,283.7114
1722.6801,1366.6,0.0191,0.5123,0.1853,372.0983
1722.3101,1110.3,0.026,0.9397,0.2209,640.3821
1067.71,1555.13,0.0215,0.1671,0.205,0
1002.94,1248.6899,0.0224,0.9452,0.1689,10.0581
1627.86,1145.88,0.021,0.0658,0.1703,483.5623
1667.04,1337.33,0.0208,0.1123,0.178,332.8315
1111.7,1334.8,0.026,0.189,0.146,0
1312.1899,1395.45,0.021,1.2466,0.1524,68.8669
1513.46,1612.48,0.0221,1.1041,0.2086,106.7352
1135.36,1428.0601,0.0207,0.8603,0.199,14.5311
1069.66,1133.74,0.0212,0.189,0.1832,12.222
1473.48,1547.54,0.0146,0.8438,0.1821,74.8818
1625.74,1317.74,0.0191,0.1808,0.1968,312.7274
1332.26,1060.05,0.0202,0.7178,0.1984,294.0031
1631.72,1334.8101,0.0184,1.1425,0.1672,338.0761
1497.01,1298.05,0.0224,0.6027,0.1656,225.9743
1235.41,1886.23,0.0176,1.3041,0.1951,4.8137
1069.23,1730.17,0.012,0.4055,0.1672,0
1192.11,1433.21,0.0229,1.0712,0.1793,25.793
1522.84,1629.6899,0.0206,0.663,0.1985,63.9482
1559.4301,1781.4,0.0238,0.463,0.1737,15.0259
1623.54,1332.79,0.0167,0.2356,0.1575,296.1169
1396.02,1677.04,0.0199,1.4959,0.2033,61.0541
1805.3101,1867.99,0.0163,0.0548,0.1733,6.83
1932.96,1821.17,0.0166,0.5068,0.1603,163.0494
1847.67,1487.84,0.0216,1.4082,0.2171,442.0331
1936.52,1457.96,0.022,0.7425,0.1973,506.565
1947.4,1384.3199,0.0121,1.1616,0.1889,587.8091
1231.17,1443.59,0.0292,0.8904,0.1867,30.0208
1528.66,1618.96,0.0209,0.1781,0.1736,14.4763
1601.38,1451.8,0.0162,1.1534,0.2158,245.057
1385.0601,1049.12,0.0208,1.0795,0.1602,362.0308
1541.17,1722.45,0.0209,1.3233,0.1855,79.7429
1997.51,1781.62,0.0142,0.3808,0.1687,237.5003
1569.99,1509.23,0.0199,0.1507,0.1815,82.5301
1121.66,1434.95,0.0191,1.3425,0.177,18.3858
1083.83,1132.92,0.0195,1.2658,0.1372,57.1076
1988.54,1241.28,0.0265,0.8658,0.143,775.4204
1960.2,1296.3199,0.0288,1.1753,0.157,707.3784
1712.3199,1769.66,0.0224,0.0219,0.164,0
1385.72,1067.15,0.0226,1.3233,0.1673,356.5313
1748.76,1801.47,0.0174,1.2685,0.1698,127.1018
1625.22,1685.1899,0.0231,1.0219,0.2169,132.6879
1498.28,1639.5,0.0193,0.7041,0.1897,50.3824
1700.91,1099.89,0.0198,0.4904,0.1925,611.6702
1397.23,1881.91,0.0204,0.6795,0.1402,0.4191
1200.5,1894.66,0.0248,0.0192,0.1697,0
1091.29,1442.22,0.0256,0.8411,0.1758,4.6784
1682.92,1004.17,0.0146,1.2904,0.1682,697.6767
1534.5,1346.6801,0.0223,1.189,0.1966,263.9984
1400.5601,1380.85,0.0242,0.6055,0.1793,98.1407
1108,1590.24,0.0189,1.4822,0.1568,4.0438
1306.54,1516.86,0.0159,0.2877,0.1351,0.7887
1101.9,1082.33,0.0226,1.2959,0.2179,133.5307
1565.9301,1477.79,0.0171,0.2849,0.1875,119.443
1154.3,1463.76,0.023,0.8658,0.1895,11.8287
1039.71,1854.33,0.0203,1.4658,0.1662,0.2628
1490.97,1325.97,0.0229,0.2,0.2032,176.023
1459.98,1788.1,0.0112,1.4247,0.185,39.0509
1059.71,1113.85,0.0221,0.4055,0.1616,25.3982
1265.45,1978.0601,0.024,1.4795,0.1635,2.1549
1902.83,1743.4301,0.0162,0.9562,0.1568,227.6611
1315.79,1323.54,0.0137,0.474,0.1844,66.8787
1361.79,1715.63,0.0154,0.537,0.2022,6.5161
1953.65,1610.29,0.014,0.8027,0.205,382.9266
1957.53,1257.39,0.0164,0.5288,0.172,711.0045
1133.0601,1395.71,0.0177,0.0192,0.1909,0
1040.4399,1771.36,0.0112,1.4466,0.1903,1.2811
1583.01,1999.61,0.021,0.2192,0.1916,0.2148
1553.45,1625.46,0.0274,1.1945,0.1658,103.2452
1224.96,1256.62,0.0189,0.2384,0.2252,41.7974
1502.34,1063.5601,0.0217,1.1699,0.1644,466.9288
1312.91,1436.61,0.0204,0.7151,0.1438,26.9541
1976.66,1768.38,0.0229,1.337,0.2134,340.9583
1015.01,1489.33,0.0229,1.2137,0.1446,0.8553
1815.3101,1358.17,0.0167,0.0712,0.1821,458.754
1405.23,1519.5,0.0246,0.7397,0.1989,61.2357
1260.3,1848.0601,0.0155,0.1068,0.182,0
1083.97,1148.6,0.0221,1.1315,0.1654,60.4579
1192.65,1857.63,0.0188,1.1918,0.1794,1.6227
1896.3101,1169.71,0.0148,1.3288,0.1576,749.6046
1793.96,1095.76,0.0261,0.9671,0.1659,725.5577
1466.6899,1651.48,0.0219,0.8466,0.1843,44.6918
1727.58,1404.0699,0.0171,0.4849,0.1797,338.4122
1518.73,1397.58,0.0228,1.1205,0.1808,205.1816
1183.04,1390.22,0.0231,0.5973,0.2204,23.0215
1198.98,1417.95,0.0185,1.3425,0.1508,26.1054
1377.55,1432.34,0.022,1.4,0.2037,126.996
1873.28,1817.9,0.0232,0.7315,0.1868,164.4261
1358.16,1585.73,0.0223,0.6904,0.1964,25.7913
1114.54,1261.55,0.0151,0.0356,0.1387,0
1198.64,1673.22,0.0192,1.3836,0.1785,9.3084
1850.75,1915.61,0.0146,0.0192,0.198,0.7644
1934.48,1590.3199,0.0258,0.6164,0.1744,375.4402
1891.77,1529.99,0.019,0.9753,0.1681,400.3302
1829.97,1606.51,0.0144,1.2082,0.197,305.2091
1303.87,1061.35,0.0222,0.2164,0.1876,247.8422
1821.12,1193.84,0.0213,0.9562,0.1495,651.4228
1350.67,1995.8101,0.0186,1.4164,0.1772,5.8125
1228.01,1664.16,0.0177,1.211,0.2274,22.8054
1969.16,1277.1801,0.0193,0.4356,0.177,702.6756
1080.52,1646.12,0.0222,1.4247,0.1653,2.3365
1999.73,1496.9399,0.0201,1.2685,0.1945,553.0078
1651,1183.38,0.0276,0.8932,0.1722,497.5376
1638.78,1752.12,0.0192,0.5479,0.1819,50.6323
1037.8199,1985.05,0.0159,0.6466,0.1983,0
1832.78,1327.41,0.0243,0.9041,0.1601,535.168
1893.3199,1109.79,0.0256,0.3973,0.1781,794.7603
1582.46,1107.8,0.0271,1.4493,0.2099,525.477
1640.21,1114.75,0.0242,0.8329,0.1926,548.5321
1375.89,1377.88,0.0138,0.8685,0.198,107.9826
1769.84,1450.54,0.0209,0.8575,0.1951,361.0942
1219.3101,1414.12,0.0219,1.189,0.1569,30.8462
1066.36,1633.66,0.022,0.8192,0.1939,0.7702
1984.22,1026.36,0.0196,0.4356,0.1879,966.5855
1850.33,1477.41,0.014,0.6219,0.1857,391.3505
1039.76,1954.8199,0.0185,0.4767,0.1544,0
1585.72,1412.7,0.0169,1.463,0.184,260.0924
1388.91,1778.76,0.0279,1.0658,0.187,19.3627
1443.8101,1679.97,0.022,0.863,0.1848,33.3634
1777.39,1743.15,0.0189,1.0712,0.1658,156.9149
1667.97,1923.37,0.0186,0.9616,0.2154,64.1055
1493.96,1659.5601,0.0174,1.2164,0.2019,82.466
1832.9301,1468.67,0.0221,1.0466,0.1583,405.3297
1830.83,1787.48,0.0249,0.0247,0.1839,47.4231
1342.34,1315.87,0.0182,0.989,0.1952,128.7645
1423.0699,1352.41,0.0157,0.5479,0.2106,133.0669
1758.36,1628,0.0166,0.7918,0.1634,191.4247
1935.59,1106.9,0.0193,0.8356,0.1772,846.409
1807.02,1247.24,0.0178,1.2466,0.2201,595.5979
1816.5699,1090.78,0.0164,1.4822,0.1841,752.8651
1153.14,1519.61,0.0172,0.5863,0.2071,4.0112
1086.02,1496.9,0.0182,0.9342,0.1873,4.3952
1288.5,1459.5,0.0196,0.3836,0.1601,7.6773
1378.26,1298.55,0.0161,0.6548,0.2086,143.78
1127.0601,1035.38,0.0188,1.3945,0.2062,173.182
1707.09,1044.92,0.0228,0.5836,0.1753,675.985
1150.97,1107.72,0.0151,0.274,0.1935,73.1327
1672.28,1980.67,0.021,0.2356,0.207,3.6075
1201.0699,1300.63,0.0147,0.137,0.1465,1.9869
1076.33,1396.0601,0.011,0.1288,0.1691,0
1255.72,1838.22,0.0152,0.1836,0.1408,0
1170.01,1863.75,0.0239,0.1233,0.2113,0
1791.62,1127.1899,0.0204,0.537,0.1917,676.7291
1995.6801,1768.63,0.0198,0.6301,0.1601,266.8756
1570.4399,1616.63,0.0188,0.3178,0.1492,36.3851
1546.9301,1286.74,0.021,1.011,0.1839,304.5106
1945.01,1216.52,0.0183,0.3479,0.1438,736.2104
1713.38,1719.8199,0.0265,0.3726,0.1498,66.6484
1028.6801,1306.04,0.0226,1.2247,0.1773,16.0817
1229.48,1841.48,0.019,0.337,0.1898,0
1321.85,1112.9,0.0217,1.4548,0.2015,275.9345
1095.8199,1661.3199,0.0213,0.7479,0.1471,0.038
1639.16,1995.14,0.0204,0.5918,0.1789,10.2374
1191.98,1763.38,0.0219,0.6082,0.1685,0.1072
1431.34,1906.45,0.0196,0.8493,0.1698,4.392
1049.4301,1124.9301,0.0185,0.5123,0.2149,38.7411
1845.1801,1076.33,0.0224,0.8986,0.1879,790.3559
1003.44,1072.05,0.0175,0.0822,0.1557,0.9442
1115.7,1686.36,0.0208,1.4932,0.17,3.5894
1192.5601,1778.1899,0.0189,0.9205,0.2174,3.9482
1133.98,1073.84,0.0246,0.9781,0.2024,136.4121
1124.51,1461.88,0.0249,0.3534,0.2053,0.9952
1284.5601,1743.95,0.0184,1.0247,0.1982,10.1729
1777.34,1190,0.0114,0.7315,0.1661,597.34
1896.13,1221.85,0.0183,1.4027,0.1691,706.2668
1454.3,1942.6899,0.0208,0.789,0.2112,10.0821
1899.26,1525.8101,0.0242,0.3781,0.1852,388.8956
1861.5699,1346.27,0.0249,0.5918,0.1678,535.2598
1534.88,1792.65,0.0193,1.2986,0.1677,46.0078
1127.26,1230.36,0.0268,0.8493,0.1792,44.7416
