"G2","G1","failures","studydays","Mjob","Medu","higher","Fedu","Walc","reason","age","studytime","goout","Dalc","health","studymanual","result"
6,6,0,1,"services",2,"yes",2,2,"cost",20,3,2,2,3,"A","fail"
5,6,0,0.9375,"at_home",1,"yes",1,2,"other",20,2,5,1,3,"B","fail"
5,4,2,0.8125,"other",3,"no",2,1,"cost",21,3,2,1,2,"B","fail"
9,9,0,1,"health",3,"yes",2,2,"reputation",20,4,2,1,5,"A","pass"
6,5,0,0.9375,"other",2,"yes",3,3,"cost",20,1,5,1,3,"B","pass"
6,6,0,0.75,"at_home",3,"yes",3,1,"cost",21,2,4,1,3,"A","pass"
4,4,2,0.90625,"other",1,"yes",1,2,"cost",21,2,4,2,5,"B","fail"
6,7,0,1,"teacher",4,"yes",4,3,"cost",20,3,4,1,4,"A","pass"
5,4,0,0.9375,"at_home",3,"yes",4,1,"other",19,2,1,1,2,"B","fail"
7,7,0,0.9375,"other",1,"yes",1,1,"access",21,2,3,1,3,"A","pass"
6,5,0,0.75,"other",2,"yes",2,1,"access",20,3,3,NA,3,"B","pass"
4,4,1,0.625,"other",1,"yes",1,1,"cost",22,2,4,4,1,"B","fail"
6,-1,1,0.5625,"other",1,"yes",3,4,"cost",20,2,4,1,5,"A","fail"
6,4,0,0.6875,"other",2,"yes",1,4,"reputation",22,1,4,1,4,"A","fail"
6,6,0,0.8125,"services",4,"yes",4,2,"other",20,1,1,1,3,"A","fail"
6,6,0,1,"services",3,"yes",1,4,"other",20,2,4,3,5,"A","pass"
4,5,3,0.5625,"other",1,"yes",2,3,"reputation",20,1,2,3,5,"A","fail"
5,4,0,1,"health",4,"yes",1,1,"cost",20,1,2,1,5,"B","fail"
7,8,0,0.875,"at_home",1,"yes",1,3,"cost",20,3,3,1,5,"A","pass"
7,6,0,0.9375,"other",4,"yes",3,1,"cost",19,3,5,1,3,"A","pass"
4,3,0,1,"at_home",2,"no",1,1,"access",18,1,4,1,1,"B","fail"
8,7,0,0.9375,"other",4,"yes",3,1,"cost",21,3,4,1,5,"A","pass"
6,6,0,1,"other",0,"yes",2,2,"other",19,1,3,1,2,"B","pass"
7,7,0,1,"teacher",4,"yes",4,3,"reputation",20,2,5,1,2,"A","pass"
4,5,2,1,"health",1,"yes",2,5,"cost",19,1,5,3,5,"A","fail"
7,7,0,0.875,"services",3,"yes",3,1,"access",19,3,3,1,5,"A","pass"
7,6,0,1,"at_home",1,"yes",2,2,"reputation",21,2,3,1,4,"B","pass"
6,6,0,0.9375,"services",3,"yes",4,1,"cost",18,3,2,1,5,"A","pass"
5,5,0,0.6875,"services",3,"yes",3,4,"access",21,2,4,2,4,"A","fail"
7,7,0,0.75,"other",2,"yes",1,2,"access",21,2,5,1,1,"A","pass"
6,6,0,1,"at_home",2,"yes",2,1,"cost",20,3,3,1,4,"A","pass"
6,6,0,1,"other",2,"yes",2,1,"access",19,2,4,1,5,"A","fail"
9,9,0,1,"other",4,"yes",2,3,"cost",20,2,3,2,5,"B","pass"
7,7,0,0.84375,"services",2,"yes",2,1,"access",21,3,1,1,4,"B","pass"
7,6,0,1,"other",2,"yes",2,2,"cost",19,2,2,2,5,"B","pass"
7,7,0,1,"other",3,"yes",1,2,"reputation",19,1,2,2,5,"A","pass"
5,5,1,0.8125,"at_home",2,"yes",1,5,"cost",19,1,4,3,5,"A","fail"
6,6,0,0.875,"other",1,"yes",0,1,"access",20,1,2,1,5,"B","pass"
7,7,0,1,"teacher",4,"yes",3,4,"access",19,3,4,2,4,"A","pass"
4,5,1,0.9375,"at_home",1,"no",3,4,"cost",19,1,3,1,2,"A","fail"
6,5,1,0.5625,"other",2,"yes",2,2,"cost",19,2,3,2,5,"A","fail"
5,5,0,0.9375,"at_home",2,"no",1,1,"cost",20,1,3,1,3,"B","fail"
6,6,0,0.875,"other",2,"yes",3,3,"reputation",19,2,3,1,4,"A","pass"
6,5,2,1,"other",4,"yes",4,1,"reputation",24,3,2,1,5,"A","pass"
8,7,0,0.9375,"teacher",4,"yes",2,1,"reputation",20,4,3,1,4,"A","pass"
4,5,0,0.9375,"other",2,"yes",1,1,"access",19,1,3,1,5,"B","fail"
5,4,0,0.78125,"health",4,"yes",1,2,"reputation",18,2,4,1,2,"B","fail"
5,6,0,0.875,"at_home",2,"yes",2,2,"cost",19,1,2,1,3,"A","fail"
6,5,0,0.65625,"services",2,"no",2,3,"reputation",21,2,4,1,3,"A","pass"
8,6,0,0.9375,"health",4,"yes",4,2,"reputation",20,3,2,1,4,"A","pass"
7,8,0,0.8125,"other",2,"yes",2,2,"reputation",21,1,2,1,5,"A","pass"
3,4,0,0.9375,"services",3,"yes",2,4,"cost",19,1,3,1,3,"B","fail"
0,3,1,1,"at_home",1,NA,1,3,"other",22,1,5,2,2,"B","fail"
5,5,1,0.75,"other",1,"yes",1,3,"access",22,2,4,3,2,"B","fail"
6,6,0,0.875,"services",3,"yes",2,1,"reputation",18,2,4,1,5,"A","fail"
6,5,0,0.9375,"services",2,"yes",4,1,"cost",18,3,2,1,5,"A","fail"
6,6,0,0.8125,"at_home",1,"yes",2,4,"cost",18,2,4,2,1,"A","fail"
6,6,0,0.875,"teacher",4,"yes",4,5,"access",19,2,5,5,5,"A","pass"
5,5,0,0.6875,"other",3,"yes",3,1,"reputation",18,4,3,1,4,"A","fail"
5,5,0,0.9375,"other",1,"yes",4,2,"access",21,2,4,1,5,"A","fail"
7,6,0,1,"health",4,"yes",4,3,"cost",18,1,3,1,5,"A","pass"
7,7,0,0.8125,"at_home",2,"yes",2,1,"cost",21,4,4,1,4,"A","pass"
5,5,0,0.84375,"other",0,"yes",1,5,"cost",20,1,4,3,5,"B","fail"
5,6,0,0.875,"teacher",4,"yes",3,3,"access",19,2,3,2,3,"A","fail"
6,5,0,0.75,"services",4,"yes",3,4,"cost",21,1,4,3,2,"B","fail"
4,3,2,0.9375,"at_home",1,"yes",2,1,"cost",21,2,3,1,5,"B","fail"
7,7,0,0.875,"other",3,"yes",2,1,"cost",20,2,2,1,3,"A","pass"
5,4,0,0.75,"other",1,"yes",1,4,"cost",18,2,5,2,4,"B","fail"
3,4,0,1,"other",4,"yes",4,2,"other",21,2,2,4,5,"B","fail"
4,4,1,0.5625,"other",3,"no",3,1,"cost",21,1,1,1,3,"A","fail"
7,6,0,0.75,"services",3,"yes",4,3,"cost",20,3,5,1,5,"A","pass"
6,6,0,0.9375,"services",3,"yes",1,5,"cost",21,1,4,4,4,"A","pass"
5,4,1,0.75,"services",3,"yes",4,4,"other",20,2,4,3,5,"B","fail"
6,5,0,0.84375,"at_home",3,"yes",2,2,"access",20,1,3,2,1,"B","fail"
4,5,1,1,"services",3,"no",2,3,"reputation",22,2,3,4,3,"A","fail"
6,6,0,0.5,"other",2,"yes",2,2,"access",19,2,3,1,3,"A","fail"
7,7,0,0.9375,"health",4,"yes",4,3,"reputation",22,2,4,2,2,"A","pass"
6,6,0,0.8125,"other",1,"yes",1,1,"cost",21,2,1,1,5,"B","fail"
6,7,0,1,"services",4,"yes",4,3,"cost",18,1,4,2,5,"A","pass"
5,5,0,0.625,"services",4,"yes",4,5,"other",19,1,5,5,4,"A","fail"
5,5,0,0.875,"other",3,"yes",4,2,"other",19,2,5,1,5,"B","fail"
6,6,0,0.84375,"services",2,"yes",1,2,"reputation",20,2,3,1,2,"B","pass"
7,6,0,1,"other",2,"yes",2,1,"access",22,3,5,1,1,"B","pass"
4,4,3,0.9375,"services",3,"yes",2,4,"cost",20,1,5,2,5,"A","fail"
5,5,0,1,"at_home",1,"yes",1,2,"reputation",18,2,3,1,4,"B","fail"
5,4,0,1,"at_home",1,"yes",3,4,"cost",21,2,NA,2,3,"B","fail"
4,4,0,1,"at_home",2,"yes",3,1,"cost",18,2,4,1,1,"A","fail"
7,7,0,1,"teacher",4,"yes",4,5,"cost",18,1,1,3,5,"B","pass"
7,7,0,1,"other",2,"yes",1,1,"cost",19,2,3,1,1,"B","pass"
9,9,0,1,"teacher",4,"yes",4,2,"access",21,1,2,2,1,"A","pass"
7,8,0,1,"services",4,"yes",3,1,"reputation",18,2,2,1,1,"A","pass"
9,7,0,1,"teacher",4,"yes",2,1,"cost",21,2,2,1,3,"A","pass"
7,7,0,1,"other",2,"yes",2,1,"access",19,1,2,1,4,"B","pass"
7,7,0,0.8125,"other",3,"yes",3,1,"access",19,1,2,1,5,"A","pass"
8,8,0,1,"services",4,"yes",4,1,"other",19,3,3,1,4,"A","pass"
4,4,2,0.9375,"other",1,"yes",1,1,"cost",22,2,4,1,4,"A","fail"
4,5,1,0.5,"at_home",2,"yes",2,1,"cost",21,2,1,1,5,"A","fail"
6,NA,0,0.75,"at_home",1,"yes",2,5,"access",21,1,4,5,1,"B","fail"
7,7,0,0.9375,"services",1,"yes",1,2,"access",19,1,4,2,4,"B","pass"
6,5,1,0.5,"at_home",2,"no",3,4,"access",22,1,3,3,5,"A","fail"
6,5,0,0.84375,"at_home",4,"yes",4,3,"access",19,2,2,1,2,"B","fail"
5,6,3,0.8125,"at_home",1,"yes",1,5,"cost",21,1,5,1,4,"A","fail"
5,4,0,0.75,"services",3,"yes",3,5,"access",20,1,4,5,3,"B","fail"
4,5,0,0.3125,"other",2,"yes",1,2,"access",20,1,5,1,5,"A","fail"
5,5,0,1,"other",1,"yes",1,3,"cost",20,1,5,1,2,"B","fail"
6,5,0,0.9375,"other",3,"yes",3,3,"access",19,3,3,1,4,"A","fail"
4,4,0,1,"other",2,"yes",1,1,"reputation",19,2,1,1,2,"B","fail"
6,5,0,0.9375,"services",2,"yes",2,1,"cost",20,4,1,1,2,"A","pass"
8,8,0,0.9375,"teacher",4,"yes",3,2,"cost",19,2,3,1,1,"A","pass"
7,7,0,0.9375,"teacher",4,"yes",4,1,"cost",18,3,2,1,5,"A","pass"
6,6,0,1,"other",3,"yes",4,1,"access",18,2,1,1,5,"A","pass"
5,5,0,0.75,"other",4,"yes",1,2,"access",19,2,4,2,1,"B","fail"
6,5,0,0.9375,"other",3,"yes",2,1,"cost",21,3,2,1,3,"A","pass"
6,6,0,0.8125,"at_home",1,"yes",1,2,"cost",18,1,3,1,4,"A","pass"
6,7,0,0.9375,"other",3,"yes",1,1,"reputation",19,4,2,1,5,"A","fail"
6,6,0,1,"teacher",4,"yes",4,3,"cost",21,2,4,3,5,"A","pass"
6,6,0,1,"other",2,"yes",2,4,"cost",21,4,5,2,5,"A","pass"
7,7,0,0.875,"services",4,"yes",4,2,"access",20,1,3,1,5,"A","pass"
5,6,0,1,"teacher",4,"yes",4,3,"reputation",20,2,4,1,5,"A","fail"
7,6,0,1,"other",3,"yes",3,2,"access",19,2,2,1,5,"A","pass"
6,6,0,1,"other",1,"yes",1,2,"reputation",20,2,3,1,4,"A","pass"
5,6,0,0.875,"other",1,"yes",1,2,"cost",20,2,4,1,5,"A","fail"
5,7,0,1,"other",1,"yes",1,1,"access",19,4,2,1,1,"B","pass"
6,6,0,1,"other",2,"yes",2,1,"cost",19,2,4,1,5,"B","pass"
4,4,3,1,"at_home",1,"yes",1,1,"cost",19,2,3,1,1,"B","fail"
7,7,0,0.9375,"other",1,"yes",1,2,"access",21,1,2,1,3,"B","pass"
7,-1,0,1,"health",4,"yes",2,1,"other",18,2,3,1,5,"A","pass"
6,6,0,1,"other",2,"yes",3,3,"cost",18,1,2,1,3,"A","pass"
8,8,0,0.8125,"at_home",2,"yes",4,1,"reputation",20,2,3,1,1,"A","pass"
5,5,1,1,"other",3,"yes",3,4,"cost",19,2,5,4,5,"A","fail"
4,3,1,0.875,"other",1,"yes",1,2,"cost",18,1,3,1,2,"B","fail"
5,6,0,0.5,"services",3,"yes",2,1,"access",18,2,5,1,2,"A","fail"
8,9,0,1,"health",4,"yes",4,3,"other",19,2,4,2,4,"A","pass"
6,6,0,1,"services",3,"yes",3,1,"access",20,2,3,1,5,"A","pass"
9,8,0,0.6875,"other",3,"yes",2,2,"reputation",20,2,4,1,5,"A","pass"
8,7,1,0.0625,"services",4,"yes",4,3,"access",20,1,4,2,2,"A","pass"
8,8,0,0.9375,"other",2,"yes",1,2,"access",21,2,4,1,4,"A","pass"
6,7,0,1,"other",2,"yes",1,1,"cost",19,2,5,1,5,"A","pass"
9,7,0,0.84375,"at_home",3,"yes",2,2,"reputation",21,3,4,1,2,"A","pass"
7,7,0,1,"other",3,"yes",3,1,"reputation",19,2,5,1,4,"A","pass"
7,7,0,0.75,"at_home",2,"yes",2,1,"reputation",18,1,1,1,2,"A","pass"
8,8,0,0.78125,"other",2,"yes",1,1,"cost",19,1,3,1,4,"A","pass"
6,6,0,1,"at_home",1,"no",2,1,"cost",21,2,1,1,4,"B","pass"
7,7,0,1,"teacher",4,"yes",3,3,"cost",21,3,5,2,5,"A","pass"
7,7,0,1,"other",4,"yes",4,2,"cost",21,3,3,2,3,"A","pass"
6,7,0,0.8125,"services",3,"yes",3,3,"other",21,2,2,1,3,"B","pass"
5,6,2,1,"other",1,"no",1,5,"cost",21,1,5,2,4,"A","fail"
5,6,0,0.96875,"other",1,"yes",0,1,"other",20,2,5,1,4,"B","fail"
8,8,0,0.875,"teacher",3,"yes",1,1,"cost",21,2,4,1,1,"B","pass"
5,4,0,0.9375,"health",2,"yes",2,1,"cost",19,2,2,1,3,"B","fail"
5,5,0,0.9375,"teacher",4,"yes",3,1,"cost",21,2,2,1,3,"A","fail"
5,4,1,0.625,"at_home",2,"yes",2,1,"access",19,2,2,1,5,"A","fail"
7,7,0,0.9375,"other",3,"yes",3,1,"reputation",19,2,2,1,4,"A","pass"
7,7,0,1,"at_home",1,"yes",1,1,"cost",19,2,3,2,2,"B","pass"
6,6,0,0.875,"other",1,"yes",1,3,"access",21,3,3,2,3,"A","pass"
7,7,0,1,"other",3,"no",3,1,"reputation",19,1,4,1,4,"B","pass"
5,5,0,0.9375,"at_home",3,"yes",4,4,"cost",20,2,5,2,5,"A","fail"
6,6,0,0.875,"services",3,"yes",3,1,"reputation",19,3,2,1,2,"A","fail"
8,6,0,0.875,"services",2,"yes",1,4,"reputation",20,2,5,2,4,"A","pass"
5,5,0,0.875,"other",3,"yes",3,1,"cost",19,1,2,1,5,"A","fail"
5,5,0,0.8125,"services",3,"yes",1,4,"cost",20,1,5,3,2,"B","fail"
8,8,0,0.9375,"at_home",3,"yes",4,5,"cost",20,3,4,2,5,"A","pass"
6,6,0,1,"health",4,"yes",2,4,"other",18,1,4,2,1,"A","fail"
6,6,0,0.75,"health",4,"yes",3,4,"cost",21,1,4,1,1,"A","pass"
6,5,1,0.875,"at_home",3,"yes",3,3,"reputation",19,2,3,1,2,"A","fail"
7,7,0,1,"other",1,"yes",2,2,"cost",20,2,2,1,3,"B","pass"
9,8,0,1,"other",4,"yes",3,1,"reputation",21,4,3,1,3,"A","pass"
7,7,0,0.96875,"other",2,"yes",2,3,"reputation",19,4,3,1,3,"A","pass"
9,9,0,1,"teacher",4,"yes",4,2,"reputation",21,2,5,1,1,"B","pass"
5,6,0,1,"at_home",2,"no",1,1,"access",18,1,2,1,5,"A","fail"
6,7,0,1,"services",4,"yes",3,4,"reputation",18,2,4,2,2,"A","pass"
6,7,0,1,"other",3,"yes",3,1,"cost",18,2,2,1,2,"A","pass"
5,5,3,0.9375,"health",4,"yes",4,3,"cost",20,1,3,1,5,"B","fail"
6,5,0,0.8125,"teacher",4,"yes",3,1,"cost",18,4,2,1,3,"A","fail"
8,8,0,0.9375,"health",4,"yes",4,1,"other",19,3,5,1,4,"A","pass"
8,8,0,0.9375,"services",4,"yes",3,3,"access",21,2,2,1,2,"A","pass"
6,5,0,0.96875,"teacher",4,"yes",4,4,"cost",19,3,5,1,5,"B","pass"
0,4,0,1,"at_home",1,"yes",1,5,"access",19,2,5,4,3,"B","fail"
6,8,0,0.9375,"other",3,"yes",3,1,"access",20,3,3,1,4,"A","pass"
